,dt,ticker,type,price,shares,amount,cash_left,transaction_cost,pnl
3068,2019-11-11,NEE,0,52.25294876098633,182.0,9510.036674499512,32916.56647109985,0.0,5.9915924072265625
3069,2019-11-11,AMT,0,196.44012451171875,48.0,9429.1259765625,42345.69244766235,0.0,67.302978515625
3070,2019-11-11,KO,0,47.178749084472656,200.0,9435.749816894531,51781.442264556885,0.0,-67.34542846679688
3071,2019-11-11,PEP,0,121.63977813720703,77.0,9366.262916564941,61147.705181121826,0.0,-52.354736328125
3072,2019-11-11,VZ,0,52.673152923583984,181.0,9533.840679168701,70681.54586029053,0.0,41.583656311035156
3073,2019-11-11,SBUX,0,77.66427612304688,123.0,9552.705963134766,80234.2518234253,0.0,76.48743438720703
3074,2019-11-11,TMUS,0,79.62000274658203,117.0,9315.540321350098,89549.79214477539,0.0,-154.4399642944336
3075,2019-11-11,PG,0,111.6314926147461,84.0,9377.045379638672,98926.83752441406,0.0,-29.074951171875
3076,2019-11-11,DUK,1,77.65447235107422,6.0,465.9268341064453,98460.91069030762,0.0,0.0
3077,2019-11-11,BKNG,1,1896.0400390625,0.0,0.0,98460.91069030762,0.0,0.0
3078,2019-11-11,TMUS,1,79.62000274658203,5.0,398.10001373291016,98062.8106765747,0.0,0.0
3079,2019-11-11,NEE,1,52.25294876098633,8.0,418.0235900878906,97644.78708648682,0.0,0.0
3080,2019-11-11,EXC,1,28.353214263916016,16.0,453.65142822265625,97191.13565826416,0.0,0.0
3081,2019-11-11,KO,1,47.178749084472656,9.0,424.6087417602539,96766.5269165039,0.0,0.0
3082,2019-11-11,SO,1,53.52686309814453,8.0,428.21490478515625,96338.31201171875,0.0,0.0
3083,2019-11-11,PEP,1,121.63977813720703,3.0,364.9193344116211,95973.39267730713,0.0,0.0
3084,2019-11-11,MMM,1,152.95327758789062,3.0,458.8598327636719,95514.53284454346,0.0,0.0
3085,2019-11-11,TXN,1,109.85578918457031,4.0,439.42315673828125,95075.10968780518,0.0,0.0
3086,2019-11-12,DUK,0,77.64561462402344,6.0,465.8736877441406,95540.98337554932,0.0,-0.0531463623046875
3087,2019-11-12,BKNG,0,1875.8399658203125,0.0,0.0,95540.98337554932,0.0,
3088,2019-11-12,TMUS,0,77.43000030517578,5.0,387.1500015258789,95928.1333770752,0.0,-10.95001220703125
3089,2019-11-12,NEE,0,52.488094329833984,8.0,419.9047546386719,96348.03813171387,0.0,1.88116455078125
3090,2019-11-12,EXC,0,28.54644203186035,16.0,456.7430725097656,96804.78120422363,0.0,3.091644287109375
3091,2019-11-12,KO,0,47.06044006347656,9.0,423.54396057128906,97228.32516479492,0.0,-1.0647811889648438
3092,2019-11-12,SO,0,53.72159957885742,8.0,429.7727966308594,97658.09796142578,0.0,1.557891845703125
3093,2019-11-12,PEP,0,121.26307678222656,3.0,363.7892303466797,98021.88719177246,0.0,-1.1301040649414062
3094,2019-11-12,MMM,0,153.6096649169922,3.0,460.82899475097656,98482.71618652344,0.0,1.9691619873046875
3095,2019-11-12,TXN,0,110.73031616210938,4.0,442.9212646484375,98925.63745117188,0.0,3.49810791015625
3096,2019-11-12,TMUS,1,77.43000030517578,122.0,9446.460037231445,89479.17741394043,0.0,0.0
3097,2019-11-12,DUK,1,77.64561462402344,122.0,9472.76498413086,80006.41242980957,0.0,0.0
3098,2019-11-12,BKNG,1,1875.8399658203125,5.0,9379.199829101562,70627.21260070801,0.0,0.0
3099,2019-11-12,KO,1,47.06044006347656,202.0,9506.208892822266,61121.00370788574,0.0,0.0
3100,2019-11-12,PEP,1,121.26307678222656,78.0,9458.519989013672,51662.48371887207,0.0,0.0
3101,2019-11-12,XOM,1,58.67774963378906,162.0,9505.795440673828,42156.68827819824,0.0,0.0
3102,2019-11-12,NEE,1,52.488094329833984,181.0,9500.345073699951,32656.34320449829,0.0,0.0
3103,2019-11-12,TGT,1,102.62826538085938,92.0,9441.800415039062,23214.54278945923,0.0,0.0
3104,2019-11-12,VZ,1,52.41689682006836,181.0,9487.458324432373,13727.084465026855,0.0,0.0
3105,2019-11-12,SO,1,53.72159957885742,176.0,9455.001525878906,4272.082939147949,0.0,0.0
3106,2019-11-13,TMUS,0,77.97000122070312,122.0,9512.340148925781,13784.42308807373,0.0,65.88011169433594
3107,2019-11-13,DUK,0,78.47887420654297,122.0,9574.422653198242,23358.845741271973,0.0,101.65766906738281
3108,2019-11-13,BKNG,0,1859.0899658203125,5.0,9295.449829101562,32654.295570373535,0.0,-83.75
3109,2019-11-13,KO,0,47.6974983215332,202.0,9634.894660949707,42289.19023132324,0.0,128.6857681274414
3110,2019-11-13,PEP,0,122.4666976928711,78.0,9552.402420043945,51841.59265136719,0.0,93.88243103027344
3111,2019-11-13,XOM,0,58.19559860229492,162.0,9427.686973571777,61269.279624938965,0.0,-78.10846710205078
3112,2019-11-13,NEE,0,53.59089660644531,181.0,9699.952285766602,70969.23191070557,0.0,199.6072120666504
3113,2019-11-13,TGT,0,102.84611511230469,92.0,9461.842590332031,80431.0745010376,0.0,20.04217529296875
3114,2019-11-13,VZ,0,52.49642562866211,181.0,9501.853038787842,89932.92753982544,0.0,14.39471435546875
3115,2019-11-13,SO,0,54.80152130126953,176.0,9645.067749023438,99577.99528884888,0.0,190.06622314453125
3116,2019-11-13,BKNG,1,1859.0899658203125,0.0,0.0,99577.99528884888,0.0,0.0
3117,2019-11-13,FDX,1,149.504150390625,2.0,299.00830078125,99278.98698806763,0.0,0.0
3118,2019-11-13,GM,1,36.26898193359375,11.0,398.95880126953125,98880.0281867981,0.0,0.0
3119,2019-11-13,TMUS,1,77.97000122070312,5.0,389.8500061035156,98490.17818069458,0.0,0.0
3120,2019-11-13,NFLX,1,283.1099853515625,1.0,283.1099853515625,98207.06819534302,0.0,0.0
3121,2019-11-13,DUK,1,78.47887420654297,5.0,392.39437103271484,97814.6738243103,0.0,0.0
3122,2019-11-13,GILD,1,55.75791931152344,7.0,390.30543518066406,97424.36838912964,0.0,0.0
3123,2019-11-13,XOM,1,58.19559860229492,7.0,407.36919021606445,97016.99919891357,0.0,0.0
3124,2019-11-13,DOW,1,45.98793411254883,9.0,413.89140701293945,96603.10779190063,0.0,0.0
3125,2019-11-13,DD,1,66.01873779296875,6.0,396.1124267578125,96206.99536514282,0.0,0.0
3126,2019-11-14,BKNG,0,1865.550048828125,0.0,0.0,96206.99536514282,0.0,
3127,2019-11-14,FDX,0,149.93479919433594,2.0,299.8695983886719,96506.8649635315,0.0,0.861297607421875
3128,2019-11-14,GM,0,35.888641357421875,11.0,394.7750549316406,96901.64001846313,0.0,-4.183746337890625
3129,2019-11-14,TMUS,0,76.83999633789062,5.0,384.1999816894531,97285.84000015259,0.0,-5.6500244140625
3130,2019-11-14,NFLX,0,289.6199951171875,1.0,289.6199951171875,97575.45999526978,0.0,6.510009765625
3131,2019-11-14,DUK,0,79.0747299194336,5.0,395.37364959716797,97970.83364486694,0.0,2.979278564453125
3132,2019-11-14,GILD,0,56.18052673339844,7.0,393.26368713378906,98364.09733200073,0.0,2.958251953125
3133,2019-11-14,XOM,0,57.94183349609375,7.0,405.59283447265625,98769.69016647339,0.0,-1.7763557434082031
3134,2019-11-14,DOW,0,46.2364616394043,9.0,416.1281547546387,99185.81832122803,0.0,2.2367477416992188
3135,2019-11-14,DD,0,66.0659408569336,6.0,396.39564514160156,99582.21396636963,0.0,0.2832183837890625
3136,2019-11-14,CSCO,1,41.277183532714844,233.0,9617.583763122559,89964.63020324707,0.0,0.0
3137,2019-11-14,KHC,1,27.297664642333984,352.0,9608.777954101562,80355.85224914551,0.0,0.0
3138,2019-11-14,GM,1,35.888641357421875,268.0,9618.155883789062,70737.69636535645,0.0,0.0
3139,2019-11-14,TMUS,1,76.83999633789062,125.0,9604.999542236328,61132.69682312012,0.0,0.0
3140,2019-11-14,FDX,1,149.93479919433594,64.0,9595.8271484375,51536.86967468262,0.0,0.0
3141,2019-11-14,BKNG,1,1865.550048828125,5.0,9327.750244140625,42209.11943054199,0.0,0.0
3142,2019-11-14,XOM,1,57.94183349609375,166.0,9618.344360351562,32590.77507019043,0.0,0.0
3143,2019-11-14,CAT,1,134.1550750732422,71.0,9525.010330200195,23065.764739990234,0.0,0.0
3144,2019-11-14,F,1,8.415243148803711,1143.0,9618.622919082642,13447.141820907593,0.0,0.0
3145,2019-11-14,COP,1,51.203468322753906,187.0,9575.04857635498,3872.0932445526123,0.0,0.0
3146,2019-11-15,CSCO,0,41.44261932373047,233.0,9656.1303024292,13528.223546981812,0.0,38.546539306640625
3147,2019-11-15,KHC,0,27.597444534301758,352.0,9714.300476074219,23242.52402305603,0.0,105.52252197265625
3148,2019-11-15,GM,0,35.97641372680664,268.0,9641.67887878418,32884.20290184021,0.0,23.522994995117188
3149,2019-11-15,TMUS,0,78.06999969482422,125.0,9758.749961853027,42642.95286369324,0.0,153.75041961669922
3150,2019-11-15,FDX,0,151.51376342773438,64.0,9696.880859375,52339.83372306824,0.0,101.0537109375
3151,2019-11-15,BKNG,0,1848.8199462890625,5.0,9244.099731445312,61583.93345451355,0.0,-83.6505126953125
