,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
218,2020-01-29,0,9,15000.241374969482,105097.0157623291,120097.25713729858,116776.92005490104
219,2020-01-30,0,9,15000.241374969482,104351.55906677246,119351.80044174194,117258.84602857285
220,2020-01-31,9,0,116739.71738815308,0.0,116739.71738815308,115168.91299346741
221,2020-02-03,10,8,9616.224956512451,107123.49243164062,116739.71738815308,116479.4255844615
222,2020-02-04,0,8,9616.224956512451,108705.49545288086,118321.72040939331,118448.3510527573
223,2020-02-05,0,8,9616.224956512451,109779.78820800781,119396.01316452026,119311.80678825824
224,2020-02-06,0,8,9616.224956512451,110359.83123779297,119976.05619430542,119744.15843534308
225,2020-02-07,8,0,119488.00611495972,0.0,119488.00611495972,119188.46539134091
226,2020-02-10,10,7,502.54316329956055,118985.46295166016,119488.00611495972,119993.41512737802
227,2020-02-11,0,7,502.54316329956055,119040.04287719727,119542.58604049683,120478.89093263203
228,2020-02-12,0,7,502.54316329956055,120196.9497680664,120699.49293136597,121147.0866330773
229,2020-02-13,0,7,502.54316329956055,119577.70614624023,120080.2493095398,120962.62167710993
230,2020-02-14,7,0,120519.14854049683,0.0,120519.14854049683,121030.68533983777
231,2020-02-18,0,0,120519.14854049683,0.0,120519.14854049683,120870.92637973305
232,2020-02-19,0,0,120519.14854049683,0.0,120519.14854049683,121582.75545237296
233,2020-02-20,0,0,120519.14854049683,0.0,120519.14854049683,121180.92963122852
234,2020-02-21,0,0,120519.14854049683,0.0,120519.14854049683,120111.83353298654
235,2020-02-24,10,9,23233.53910446167,97285.60943603516,120519.14854049683,116046.47975885855
236,2020-02-25,0,9,23233.53910446167,94848.14147949219,118081.68058395386,112320.82079580848
237,2020-02-26,0,9,23233.53910446167,93844.74868774414,117078.28779220581,111697.29078236624
238,2020-02-27,0,9,23233.53910446167,89915.88401794434,113149.423122406,106893.23298818545
239,2020-02-28,9,0,112159.33904647827,0.0,112159.33904647827,105747.99811145931
240,2020-03-02,10,6,3004.1930198669434,109155.14602661133,112159.33904647827,110492.23127035082
241,2020-03-03,0,6,3004.1930198669434,106195.6672668457,109199.86028671265,107488.16507655123
242,2020-03-04,0,6,3004.1930198669434,111019.99053955078,114024.18355941772,111899.16158265341
243,2020-03-05,0,6,3004.1930198669434,108088.44261169434,111092.63563156128,108131.3158116744
244,2020-03-06,6,0,109133.20798873901,0.0,109133.20798873901,106451.01654755809
245,2020-03-09,10,8,49192.9144859314,59940.29350280762,109133.20798873901,98083.46042211907
246,2020-03-10,0,8,49192.9144859314,63399.8254776001,112592.7399635315,102794.56611160934
247,2020-03-11,0,8,49192.9144859314,59942.57068634033,109135.48517227173,97854.92170907084
248,2020-03-12,0,8,49192.9144859314,54061.70597076416,103254.62045669556,88210.25905859174
249,2020-03-13,8,0,107681.33687973022,0.0,107681.33687973022,96560.5649777901
250,2020-03-16,10,10,34004.602336883545,73676.73454284668,107681.33687973022,84995.23040016754
251,2020-03-17,0,10,34004.602336883545,78036.7265701294,112041.32890701294,90108.81647041591
252,2020-03-18,0,10,34004.602336883545,72362.47673034668,106367.07906723022,85747.59363095672
253,2020-03-19,0,10,34004.602336883545,76074.66659545898,110079.26893234253,86302.2748793459
254,2020-03-20,10,0,107613.76733779907,0.0,107613.76733779907,82462.71190236001
255,2020-03-23,10,9,40010.71615219116,67603.05118560791,107613.76733779907,80080.6305787084
256,2020-03-24,0,9,40010.71615219116,73214.82391357422,113225.54006576538,87611.14938926893
257,2020-03-25,0,9,40010.71615219116,73900.3999710083,113911.11612319946,88704.92625659266
258,2020-03-26,0,9,40010.71615219116,78388.01288604736,118398.72903823853,94379.76847074518
259,2020-03-27,9,0,115565.79484939575,0.0,115565.79484939575,91374.25397636197
260,2020-03-30,10,9,22627.63547897339,92938.15937042236,115565.79484939575,94144.50025307383
261,2020-03-31,0,9,22627.63547897339,91766.61186218262,114394.247341156,92624.69505846489
262,2020-04-01,0,9,22627.63547897339,86557.69290924072,109185.32838821411,88560.58735217321
263,2020-04-02,0,9,22627.63547897339,88441.11804962158,111068.75352859497,90760.9599928599
264,2020-04-03,9,0,109712.71142959595,0.0,109712.71142959595,89391.29140166374
265,2020-04-06,10,10,30449.57799911499,79263.13343048096,109712.71142959595,95395.52025066203
266,2020-04-07,0,10,30449.57799911499,79557.77549743652,110007.35349655151,95292.50106886758
267,2020-04-08,0,10,30449.57799911499,82273.5481262207,112723.1261253357,98511.69432106521
268,2020-04-09,0,10,30449.57799911499,82408.45184326172,112858.02984237671,100023.76079585997
269,2020-04-13,10,15,2123.9584922790527,110446.50859832764,112570.46709060669,99167.1184725805
270,2020-04-14,0,15,2123.9584922790527,113248.43463897705,115372.3931312561,102090.5812239665
271,2020-04-15,0,15,2123.9584922790527,109923.91567230225,112047.8741645813,99696.28860158092
272,2020-04-16,0,15,2123.9584922790527,109819.09847259521,111943.05696487427,100144.05287211471
273,2020-04-17,15,0,115708.21943283081,0.0,115708.21943283081,103045.39976861647
274,2020-04-20,10,6,359.8292350769043,115348.3901977539,115708.21943283081,101306.24088361269
275,2020-04-21,0,6,359.8292350769043,112216.07570648193,112575.90494155884,98129.66445969432
276,2020-04-22,0,6,359.8292350769043,116591.57485961914,116951.40409469604,100317.58808635667
277,2020-04-23,0,6,359.8292350769043,113784.70821380615,114144.53744888306,100073.78159373898
278,2020-04-24,6,0,116318.99328231812,0.0,116318.99328231812,101526.39852581387
279,2020-04-27,10,9,13140.031147003174,103178.96213531494,116318.99328231812,103559.86556960651
280,2020-04-28,0,9,13140.031147003174,101149.55768585205,114289.58883285522,103132.05082826463
281,2020-04-29,0,9,13140.031147003174,103985.97869873047,117126.00984573364,105388.44398900235
282,2020-04-30,0,9,13140.031147003174,103975.2182006836,117115.24934768677,103958.50159678143
283,2020-05-01,9,0,115010.76955795288,0.0,115010.76955795288,100952.3379180086
284,2020-05-04,10,9,5276.268672943115,109734.50088500977,115010.76955795288,101295.99779927767
285,2020-05-05,0,9,5276.268672943115,110102.68859863281,115378.95727157593,102097.88324640045
286,2020-05-06,0,9,5276.268672943115,108736.94877624512,114013.21744918823,101246.38137880975
287,2020-05-07,0,9,5276.268672943115,110298.12812805176,115574.39680099487,102584.38268554263
288,2020-05-08,9,0,116917.35486984253,0.0,116917.35486984253,104539.9029583359
289,2020-05-11,10,9,23584.91735458374,93332.43751525879,116917.35486984253,104381.62558451641
290,2020-05-12,0,9,23584.91735458374,91691.43676757812,115276.35412216187,102356.18776165406
291,2020-05-13,0,9,23584.91735458374,90393.80378723145,113978.72114181519,100590.06258443135
292,2020-05-14,0,9,23584.91735458374,90227.94952392578,113812.86687850952,101873.60858962369
293,2020-05-15,9,0,113610.86416244507,0.0,113610.86416244507,102196.94250126425
294,2020-05-18,10,9,35781.0076713562,77829.85649108887,113610.86416244507,105726.26167029588
295,2020-05-19,0,9,35781.0076713562,76629.56581115723,112410.57348251343,104339.19435603986
296,2020-05-20,0,9,35781.0076713562,77788.36708068848,113569.37475204468,105877.29994501495
297,2020-05-21,0,9,35781.0076713562,77477.099609375,113258.1072807312,105228.00764463881
298,2020-05-22,9,0,113076.64709091187,0.0,113076.64709091187,105463.6651167694
299,2020-05-26,0,0,113076.64709091187,0.0,113076.64709091187,107018.8104356231
300,2020-05-27,0,0,113076.64709091187,0.0,113076.64709091187,108957.99814803012
301,2020-05-28,0,0,113076.64709091187,0.0,113076.64709091187,108658.96204522949
302,2020-05-29,0,0,113076.64709091187,0.0,113076.64709091187,109178.44624389762
303,2020-06-01,10,4,1598.062801361084,111478.58428955078,113076.64709091187,109673.89406936419
304,2020-06-02,0,4,1598.062801361084,111842.93823242188,113441.00103378296,110598.09362092055
305,2020-06-03,0,4,1598.062801361084,113375.1953125,114973.25811386108,112325.49629274536
306,2020-06-04,0,4,1598.062801361084,112558.3969116211,114156.45971298218,112375.86041248406
307,2020-06-05,4,0,117920.60766220093,0.0,117920.60766220093,115241.87339563023
308,2020-06-08,10,4,2472.1274375915527,115448.48022460938,117920.60766220093,117075.94777244219
309,2020-06-09,0,4,2472.1274375915527,115345.44219970703,117817.56963729858,115722.5072982034
310,2020-06-10,0,4,2472.1274375915527,115314.77165222168,117786.89908981323,115024.7126201798
311,2020-06-11,0,4,2472.1274375915527,108208.1600189209,110680.28745651245,108202.06149556513
312,2020-06-12,4,0,112207.16886520386,0.0,112207.16886520386,109683.99741899544
